url,tool,audit_id,title,description,wcag,category,severity,impact,help_url,element,selector,failure_summary
"https://www.dlsu.edu.ph/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""https://www.dlsu.edu.ph/announcement/welcoming-id126-scholars-through-layag-lasalyano/"" class=""card-link"" style=""--cardImg: url(https://www.dlsu.edu.ph/wp-content/uploads/2026/05/Welcoming-ID126-Scholars-through-Layag-Lasalyano-CB.png);""></a>",".desktop > .bulletin-card.custom-card:nth-child(1) > .card-link","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""https://www.dlsu.edu.ph/announcement/the-greening-2026-campus-orientation-for-all-accepted-students/"" class=""card-link"" style=""--cardImg: url(https://www.dlsu.edu.ph/wp-content/uploads/2026/05/The-Greening-2026-Campus-Orientation-for-all-Accepted-Students-CB.png);""></a>",".desktop > .bulletin-card.custom-card:nth-child(2) > .card-link","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""https://www.dlsu.edu.ph/announcement/soll-in-partnership-with-dac-cpd-seminar-series-for-professional-accountants/"" class=""card-link"" style=""--cardImg: url(https://www.dlsu.edu.ph/wp-content/uploads/2026/03/School-of-Lifelong-Learning-CPD-Seminar-Series-for-Professional-Accountants-thumb.png);"">",".desktop > .bulletin-card.custom-card:nth-child(3) > .card-link","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""#"" class=""btn modal-close-btn"">
                        <img src=""https://www.dlsu.edu.ph/wp-content/themes/dlsu/assets/images/icon/x-close.svg"" alt="""">
                    </a>",".modal-close-btn","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""https://www.dlsu.edu.ph"" class=""site-logo"">
        <img src=""https://www.dlsu.edu.ph/wp-content/uploads/2025/02/logo.png"" alt="""">
    </a>",".site-logo","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>",".wrapper > nav > ul:nth-child(1)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>",".wrapper > nav > ul:nth-child(2)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>",".wrapper > nav > ul:nth-child(3)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(4)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(5)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(6)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(7)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(8)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(9)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/","axe","region","All page content should be contained by landmarks","Ensures all page content is contained by landmarks","Needs Manual Mapping","Other","Medium","moderate","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""modal-landing active"" id=""dlsu-modal-landing"">","#dlsu-modal-landing","Fix any of the following:
  Some page content is not contained by landmarks"
"https://www.dlsu.edu.ph/academics/","axe","heading-order","Heading levels should only increase by one","Ensures the order of headings is semantically correct","Needs Manual Mapping","Other","Medium","moderate","https://dequeuniversity.com/rules/axe/4.9/heading-order?application=axeAPI","<h4 class=""heading-4 font-normal font-secondary"">
                            Looking for our complete list of degree programs?                        </h4>",".card-block > h4","Fix any of the following:
  Heading order invalid"
"https://www.dlsu.edu.ph/academics/","axe","landmark-unique","Ensures landmarks are unique","Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","Needs Manual Mapping","Other","Medium","moderate","https://dequeuniversity.com/rules/axe/4.9/landmark-unique?application=axeAPI","<nav class=""top-bar-content"">",".top-bar-content","Fix any of the following:
  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable"
"https://www.dlsu.edu.ph/academics/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""https://www.dlsu.edu.ph/"" class=""logo"">",".logo","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/academics/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""#"" class=""btn menu-close-btn"">
                        <img src=""https://www.dlsu.edu.ph/wp-content/themes/dlsu/assets/images/icon/x-close.svg"" alt="""">
                    </a>",".menu-close-btn","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/academics/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""#"" class=""btn secondary"">",".grid-item.card-hover-animation:nth-child(11) > .content > .secondary.btn[href=""#""]","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/academics/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""#"" class=""btn secondary"">",".grid-item.card-hover-animation:nth-child(12) > .content > .secondary.btn[href=""#""]","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/academics/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""https://www.dlsu.edu.ph"" class=""site-logo"">
        <img src=""https://www.dlsu.edu.ph/wp-content/uploads/2025/02/logo.png"" alt="""">
    </a>",".site-logo","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/academics/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>",".wrapper > nav > ul:nth-child(1)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/academics/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>",".wrapper > nav > ul:nth-child(2)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/academics/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>",".wrapper > nav > ul:nth-child(3)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/academics/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(4)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/academics/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(5)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/academics/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(6)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/academics/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(7)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/academics/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(8)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/academics/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(9)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/academics/","axe","page-has-heading-one","Page should contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading","Needs Manual Mapping","Other","Medium","moderate","https://dequeuniversity.com/rules/axe/4.9/page-has-heading-one?application=axeAPI","<html lang=""en"">","html","Fix all of the following:
  Page must have a level-one heading"
"https://www.dlsu.edu.ph/admission/landing/","axe","landmark-unique","Ensures landmarks are unique","Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","Needs Manual Mapping","Other","Medium","moderate","https://dequeuniversity.com/rules/axe/4.9/landmark-unique?application=axeAPI","<nav class=""top-bar-content"">",".top-bar-content","Fix any of the following:
  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable"
"https://www.dlsu.edu.ph/admission/landing/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""https://www.dlsu.edu.ph/"" class=""logo"">",".logo","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/admission/landing/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""#"" class=""btn menu-close-btn"">
                        <img src=""https://www.dlsu.edu.ph/wp-content/themes/dlsu/assets/images/icon/x-close.svg"" alt="""">
                    </a>",".menu-close-btn","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/admission/landing/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""https://www.dlsu.edu.ph"" class=""site-logo"">
        <img src=""https://www.dlsu.edu.ph/wp-content/uploads/2025/02/logo.png"" alt="""">
    </a>",".site-logo","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/admission/landing/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>",".wrapper > nav > ul:nth-child(1)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/admission/landing/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>",".wrapper > nav > ul:nth-child(2)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/admission/landing/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>",".wrapper > nav > ul:nth-child(3)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/admission/landing/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(4)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/admission/landing/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(5)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/admission/landing/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(6)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/admission/landing/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(7)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/admission/landing/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(8)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/admission/landing/","axe","list","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly","Needs Manual Mapping","Structure","High","serious","https://dequeuniversity.com/rules/axe/4.9/list?application=axeAPI","<ul>","ul:nth-child(9)","Fix all of the following:
  List element has direct children that are not allowed: div"
"https://www.dlsu.edu.ph/admission/landing/","axe","page-has-heading-one","Page should contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading","Needs Manual Mapping","Other","Medium","moderate","https://dequeuniversity.com/rules/axe/4.9/page-has-heading-one?application=axeAPI","<html lang=""en"">","html","Fix all of the following:
  Page must have a level-one heading"
"https://www.dlsu.edu.ph/research-overview/overview/","axe","color-contrast","Elements must meet minimum color contrast ratio thresholds","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Needs Manual Mapping","Visual Contrast","High","serious","https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=axeAPI","<a href=""https://www.dlsu.edu.ph/research-center/centers/"" class=""btn menu-link "">Centers</a>",".inner-header > ul > li:nth-child(2) > .menu-link.btn","Fix any of the following:
  Element has insufficient color contrast of 2.37 (foreground color: #66a586, background color: #006936, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.dlsu.edu.ph/research-overview/overview/","axe","color-contrast","Elements must meet minimum color contrast ratio thresholds","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Needs Manual Mapping","Visual Contrast","High","serious","https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=axeAPI","<a href=""https://www.dlsu.edu.ph/research-office/offices/"" class=""btn menu-link "">Offices</a>",".inner-header > ul > li:nth-child(3) > .menu-link.btn","Fix any of the following:
  Element has insufficient color contrast of 2.37 (foreground color: #66a586, background color: #006936, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.dlsu.edu.ph/research-overview/overview/","axe","color-contrast","Elements must meet minimum color contrast ratio thresholds","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Needs Manual Mapping","Visual Contrast","High","serious","https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=axeAPI","<a href=""https://www.dlsu.edu.ph/research-pub-hil/publication-highlights/"" class=""btn menu-link "">Publication
                        Highlights</a>",".inner-header > ul > li:nth-child(4) > .menu-link.btn","Fix any of the following:
  Element has insufficient color contrast of 2.37 (foreground color: #66a586, background color: #006936, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.dlsu.edu.ph/research-overview/overview/","axe","color-contrast","Elements must meet minimum color contrast ratio thresholds","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Needs Manual Mapping","Visual Contrast","High","serious","https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=axeAPI","<a href=""https://www.dlsu.edu.ph/research-event/events/"" class=""btn menu-link "">Research
                        Events</a>",".inner-header > ul > li:nth-child(5) > .menu-link.btn","Fix any of the following:
  Element has insufficient color contrast of 2.37 (foreground color: #66a586, background color: #006936, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.dlsu.edu.ph/research-overview/overview/","axe","color-contrast","Elements must meet minimum color contrast ratio thresholds","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Needs Manual Mapping","Visual Contrast","High","serious","https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=axeAPI","<a href=""https://www.dlsu.edu.ph/research-journal/journals/"" class=""btn menu-link "">Journals</a>",".inner-header > ul > li:nth-child(6) > .menu-link.btn","Fix any of the following:
  Element has insufficient color contrast of 2.37 (foreground color: #66a586, background color: #006936, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
